Image Id.	Gene Description	EWS-T1	EWS-T2	EWS-T3	EWS-T4	EWS-T6	EWS-T7	EWS-T9	EWS-T11	EWS-T12	EWS-T13	EWS-T14	EWS-T15	EWS-T19	EWS-C8	EWS-C3	EWS-C2	EWS-C4	EWS-C6	EWS-C9	EWS-C7	EWS-C1	EWS-C11	EWS-C10	BL-C5	BL-C6	BL-C7	BL-C8	BL-C1	BL-C2	BL-C3	BL-C4	NB-C1	NB-C2	NB-C3	NB-C6	NB-C12	NB-C7	NB-C4	NB-C5	NB-C10	NB-C11	NB-C9	NB-C8	RMS-C4	RMS-C3	RMS-C9	RMS-C2	RMS-C5	RMS-C6	RMS-C7	RMS-C8	RMS-C10	RMS-C11	RMS-T1	RMS-T4	RMS-T2	RMS-T6	RMS-T7	RMS-T8	RMS-T5	RMS-T3	RMS-T10	RMS-T11	TEST-9	TEST-11	TEST-5	TEST-8	TEST-10	TEST-13	TEST-3	TEST-1	TEST-2	TEST-4	TEST-7	TEST-12	TEST-24	TEST-6	TEST-21	TEST-20	TEST-17	TEST-18	TEST-22	TEST-16	TEST-23	TEST-14	TEST-25	TEST-15	TEST-19
21652	catenin (cadherin-associated protein), alpha 1 (102kD)	3.2025	1.6547	3.2779	1.006	2.7098	2.0588	1.8483	2.714	2.3555	1.9291	3.6165	2.151	2.3123	1.0694	0.919	0.9248	2.6264	1.0786	1.0987	1.5822	2.167	0.3788	1.1144	0.2989	0.1856	0.1045	0.3178	0.1437	0.3493	0.3796	0.0683	1.2511	1.2422	0.7843	0.7208	1.7054	1.3452	0.6575	0.5909	1.2263	1.2744	0.9407	0.5555	2.7906	2.091	1.359	1.3682	1.2408	0.8505	1.4492	0.9687	1.541	2.4423	1.1145	3.4636	2.0816	3.1013	2.0272	2.2313	1.8594	1.2705	1.2766	2.0298	1.7733	0.1397	1.942	0.7721	0.3296	0.7509	1.4407	1.1497	3.2036	2.3189	0.1414	4.3557	1.2962	1.9839	1.9131	3.0381	3.7487	0.186	0.7623	0.8264	0.6403	0.6729	0.8249	0.1181	0.7173
25725	farnesyl-diphosphate farnesyltransferase 1	0.0681	0.071	0.116	0.1906	0.2367	0.0823	0.1234	0.1805	0.0792	0.252	0.1056	0.0966	0.1599	0.1971	0.1921	0.0893	0.0925	0.1775	0.1661	0.0564	0.0873	0.0956	0.143	0.0839	0.1283	0.0994	0.0494	0.0563	0.0557	0.064	0.1203	0.2242	0.1277	0.1423	0.0817	0.2167	0.1268	0.0779	0.1264	0.1296	0.0573	0.1279	0.1944	0.0713	0.3476	0.2839	0.1657	0.3377	0.3585	0.1631	0.924	0.0672	1.0272	1.382	1.2855	0.9137	0.391	0.5502	1.9247	0.524	0.4657	0.777	0.7067	0.4875	0.0846	0.2103	0.1855	0.351	0.4165	0.3036	0.3107	0.1329	1.2901	0.107	0.1735	0.4572	0.1455	0.2499	0.1378	1.6411	0.0872	0.3245	0.2202	0.2515	0.3038	0.3454	0.1068	0.1108
26184	phosphofructokinase, platelet	1.046	1.0409	0.8926	0.4302	0.3693	0.9021	0.9983	0.4964	0.7614	0.5745	0.5833	0.4992	0.5786	1.6814	0.7856	1.511	1.8688	2.3458	2.0193	1.1455	0.6172	0.6757	1.8223	1.0989	1.7574	0.2362	0.9711	1.0739	1.8981	1.3961	0.5926	1.4717	2.89	1.1627	0.6389	1.5466	3.1923	1.397	0.3217	1.2785	1.2974	1.858	0.7071	0.9511	0.1682	0.157	0.7286	0.213	1.0315	0.3855	0.5635	0.6689	0.9393	0.2623	0.3355	0.5806	0.3937	0.3688	0.2943	0.6808	0.9344	0.2212	1.0439	0.5832	2.3266	2.4897	1.1922	0.4258	1.2165	2.919	1.7594	3.0148	0.8116	1.3252	0.7736	0.2786	0.7921	0.5697	1.2505	1.0424	1.9834	0.2148	2.2806	1.3489	2.0071	1.2253	0.3881	0.6291
22260	cytochrome c-1	0.1243	0.052	0.1014	0.1035	0.219	0.1288	0.2203	0.2509	0.1868	0.1356	0.2796	0.2212	0.5062	1.269	0.0564	0.0593	0.1753	1.3135	1.2288	1.4999	0.0658	0.8683	0.9502	1.3145	1.3695	1.2625	1.2685	0.1198	0.1243	0.3185	0.1137	0.1005	0.1199	0.1469	1.6185	1.7928	1.547	0.9163	1.2627	1.1213	1.4351	1.3606	1.635	0.3558	0.2022	1.5814	1.4272	1.3211	1.3443	1.1194	0.0776	1.1397	0.109	0.0733	0.0893	0.0673	0.2905	0.3627	0.1762	0.3013	0.068	0.1432	0.1016	0.3514	0.1188	0.177	0.0979	0.0737	0.128	1.1618	0.0345	0.1147	0.1167	0.0675	0.1497	0.1511	0.1939	0.1345	0.2309	0.214	0.1222	0.0707	0.0915	0.0646	0.1553	0.1277	0.0622	0.0742
22293	uroporphyrinogen III synthase (congenital erythropoietic porphyria)	0.4941	0.2045	0.2818	0.2984	0.3711	0.3961	0.3766	0.4754	0.4167	0.3363	0.4452	0.4602	0.4554	0.2472	0.4109	0.5346	0.4294	0.1586	0.1544	0.1246	0.2961	0.1615	0.1378	0.3285	0.1284	0.1687	0.0573	0.3935	0.3372	0.462	0.6383	0.4352	0.4861	0.2977	0.1188	0.1924	0.1024	0.0945	0.1382	0.1177	0.0674	0.1523	0.1829	0.1352	0.3656	0.1815	0.1193	0.216	0.1611	0.1569	0.7674	0.0401	0.3764	0.5906	0.3219	0.6856	0.1113	0.6133	0.3855	0.4011	0.393	0.1669	0.2147	0.7182	0.3497	0.5963	0.1841	0.1702	0.2474	0.1502	0.2663	0.2369	0.2203	0.2968	0.2554	0.5173	0.3646	0.3335	0.3002	0.1965	0.1836	0.3171	0.3287	0.2302	0.2691	0.2764	0.1616	0.2998
22493	ribosomal protein L26	3.1207	2.1609	1.9773	1.6804	1.78	1.7199	1.7551	3.2509	2.8219	2.5935	3.0399	3.0351	11.62	1.1489	0.9729	1.056	2.5849	1.3881	1.334	1.1478	2.2883	0.7382	1.1266	0.753	0.5325	0.9698	1.0432	2.3396	2.005	2.1145	1.7212	2.8457	1.3993	2.5561	1.304	0.9871	0.674	0.8526	1.1709	1.7376	1.5479	1.3387	1.6884	5.1153	3.2805	1.2072	1.3472	0.7751	0.9409	0.9326	1.3956	0.575	2.4279	1.9687	2.3853	1.8688	5.6969	5.8139	5.3998	3.5232	3.2629	0.4744	0.3269	4.7686	2.6046	2.9903	0.9914	0.2839	0.3816	0.2694	0.5003	0.6457	0.2826	0.3465	0.3016	1.7997	2.1694	2.5719	4.5095	0.306	0.4018	0.7009	1.8075	2.6957	2.1064	1.9422	0.6343	0.357
23019	guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1	3.7106	2.4452	3.259	5.8901	3.2376	2.1729	3.4081	6.7448	4.9706	7.4107	4.2294	6.4574	10.7506	6.2046	3.1877	4.1766	2.9856	3.4946	4.0799	5.6606	3.829	4.4752	6.3542	3.0222	4.8113	4.6305	3.7375	3.3334	4.5251	3.3524	3.8142	3.5181	2.9483	5.7054	5.4201	5.6752	4.1266	4.861	4.5579	4.0917	6.9131	4.7579	6.3929	4.5275	3.1708	5.8392	6.7501	5.3355	4.1688	6.9003	2.9697	6.1087	3.5452	4.3105	4.1111	4.0321	5.4799	7.029	7.1398	7.283	4.8109	9.4915	17.533	8.8864	3.9808	4.2457	9.9955	4.1636	6.8751	5.3357	10.2512	14.319	19.0419	12.159	12.0598	4.1685	5.0388	7.349	4.8771	8.9157	5.3774	6.1208	8.1746	7.8286	5.8282	10.579	12.7753	7.1649
23132	pre-mRNA splicing factor SF3a (120 kDa subunit), similar to S. cerevisiae PRP21	1.8416	1.1473	1.4106	0.2958	0.6769	1.5609	2.1932	0.7503	0.6702	1.3556	2.6029	0.821	1.2933	0.7368	1.0158	0.8867	2.2699	2.1629	2.139	1.4865	1.0587	0.8135	1.2681	2.2284	1.1472	0.6647	0.5825	1.0947	2.22	1.6359	1.2144	1.4148	0.8492	0.4446	0.6343	1.1375	0.7132	0.5911	0.5642	1.1463	0.6698	0.6328	0.6956	1.9746	1.3955	0.7691	1.1863	0.8716	1.3884	0.6942	1.9022	0.5264	2.1765	0.7899	1.9877	1.2707	1.538	0.6437	1.2459	0.9024	1.5265	1.7763	2.2418	2.2408	1.8516	2.4517	1.5774	0.4754	1.2534	0.3843	2.5186	3.4008	1.0918	2.1819	0.9656	0.7883	0.5667	1.3443	1.5154	1.6068	1.5954	1.4112	1.5001	1.3432	2.8124	1.3557	0.7631	0.7829
24145	adenylyl cyclase-associated protein	1.2607	0.7371	0.9548	0.7381	0.8546	0.6581	1.0538	0.7499	1.0624	1.7671	0.9984	1.0826	0.6045	0.9485	1.2116	1.579	0.7523	1.0314	0.9617	1.0469	1.1429	1.1558	0.9509	1.4646	2.8207	2.2148	1.2009	2.2681	1.4484	1.6515	1.8208	0.5277	2.2907	1.7167	1.0464	1.4179	2.7042	0.5633	0.7576	3.5107	2.8599	1.8068	0.7471	0.8178	0.9163	0.7206	1.1563	0.9496	1.0322	1.2652	1.5636	0.7117	1.614	1.3615	0.9138	1.4253	0.763	0.5307	1.3112	1.9208	1.5754	1.1851	1.7367	0.8908	1.3238	1.6298	0.71	1.8462	0.7674	1.8788	1.1187	1.2343	1.6208	2.8337	2.3013	0.9927	1.0373	1.7524	1.1217	1.4054	1.9825	1.4048	1.7248	2.1532	2.2321	2.6605	4.2117	1.3762
25584	ubiquinol-cytochrome c reductase core protein II	2.9001	1.9989	2.0775	1.661	0.6808	1.5038	1.6069	1.0446	0.99	1.4207	2.0021	0.8797	0.9797	0.2887	1.6431	1.1724	2.704	1.3209	1.1458	1.422	1.7602	0.2076	0.7767	2.0438	2.6476	1.4568	1.6544	1.8761	2.7953	3.0725	1.8915	1.899	1.4719	0.9198	1.4198	2.2044	1.8135	1.0141	1.0629	1.3173	1.1249	1.7079	1.1799	2.1544	0.7854	0.4575	0.8752	1.0637	2.4309	1.0382	2.945	1.0343	2.9976	1.5409	2.851	2.1942	1.2827	2.2821	1.7709	0.845	1.6006	1.293	1.3374	3.5985	1.9454	2.2302	2.0473	0.5868	6.2661	0.396	1.6649	2.845	2.8951	2.0699	2.1799	1.0038	0.9033	1.4089	1.8785	3.1374	1.6188	3.2202	1.7985	1.5941	2.5947	0.9183	1.7225	1.5577
